,sentence,sentiment,1,2,3,4,5,6,7,8,9,10
415,"After reading some of the postings on this site I can honestly say I share many of the same problems. I am a 23 year-old male. About two years ago I left my country (Australia) and moved to Mexico City to be with my girlfriend. Needless to say I ate like a pig when I first arrived. A week into my stay I got very sick. You know how the doctors are when the Westerners get sick in Mexico...'Oh, you have been overeating and you're not used to the food, take this anti-diuretic pill and you will be fine'.So I went back to my country for a while because after a month I was feeling worse than ever. Back in Australia my doctors prescribed me with drug after drug, all to no avail. So I bit my pride and came back to Mexico. I got sicker...and then sicker...and then some more. After losing almost 10 kilos in nine months I said enough was enough and I saw a gastroenterologist.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-4','ezslot_2']));So I had anendoscopy...stomach good...intestine good...the biopsy showed I had helicobacter bacteria...and so I began my treatment for that. However the complication arose because I left it incorrectly treated for so long and now I have irritable bowel syndrome.I'm sure I do not have to go into all the details about how my life has changed and how depressed I feel sometimes. I feel pathetic. Some days I wake up and I'm laying in bed and I can hear the gastric juices making endless noises (a sign that I'm up for about a week of chronic abdominal pain and diarrhea). Anything and I mean anything can trigger it - stress, the wrong food (no matter how careful I am), a vitamin pill...God...eval(ez_write_tag([[580,400],'ibstales_com-box-4','ezslot_0']));So I began to develop other secondary symptoms because of the lack of proper nourishment...sores on my tongue (I have read in Chinese medicine that this is a reflection of the colon)...inability to get over colds fast, cramps in the upper part of my stomach (those are the worst, I cry for hours on end because nothing, not even painkillers, can stop them). Drained of all my energy, darkness under the eyes, blood in my stool sometimes.I have developed intolerances to many types of food and I fear I will never get my weight back. I am not a rich man and so seeing specialists every month is not an option for me. All the publicly available drugs like Dicetel have the opposite effect of calming my system down.I could sit here and type for hours on all the horror stories I have had, from the chronic diarrhea in public places to the 4am visits to the emergency room only to find out that they can't do anything for me.I have found some ways to control my symptoms. These are (and I hope someone else can be helped by these): stress management - eating smaller meals but divided throughout the day. Keeping a diary of what happens to help you find some kind of pattern in how your body works or reacts. A medication which is called Motilium (which helps slow down the rate of digestion so as to avoid diarrhea).A tea made from gyuaba leaves (to stop diarrhea or at least help slow it down a bit) and also echinacea to help my immune system. Yakult is too much in a delicate digestive system like mine, so I find acidophilus pills help restore my floral intestinal bacteria after a rough bout of IBS.These measures might seem a bit unorthodox but believe me they work. The horrible part is that there is no cure for IBS, only treatments to help the symptoms and lifestyle changes. I don't care if I am never 100% again, all I ask for is 75% so I can live my life without pain and so much stress.I want to say that there is also hope for people like us who suffer from this horrible type of pain. No-one could understand it unless they have had it. I don't ask for sympathy, in fact I want people to know that this will not stop my life. I will live to an old age without pain one day...E-mail Mark:[email protected]",,pain,drug,system,food,pill,left,email,people,kind,stress
416,"Been having a read of some of the tales on this site, both good and bad. Doctor diagnosed me with IBS about five years ago, and yes I agree it is a curse. What between having diarrhea and not being able to go and the bloating, life can feel pretty awful.Looking back I see the symptoms starting at about secondary school, cramps on the way to get the morning bus would mean running home (if I could run that is) just to spend 20 minutes in the loo.Anyhow the symptoms have just gotten worse over the years, although not as bad as some I've read about, and I feel sorry (if that's the right word) for them, and realize that perhaps mine isn't so bad after all.Just wanted to give some info though. Drinking 'soft' water seems to help me, as does eating junk food (McDonald's etc), avoid pizza though. Some veg seems to set it off and produce gas and a bloated feeling, mainly cauliflower and broccoli. Mushrooms really do upset things, but these add reflux to the equation (something else I suffer with, perhaps they're linked), but reflux and bloating/gas seem to give palpitations and sweats.Things usually settle a little if I holiday in a place I'm very comfortable with and with people I trust. In fact they settle so well sometimes that apart from cramps in the morning after coffee or tea or breakfast, about an hour after waking, they almost disappear.I guess I must be one of the lucky ones to not suffer so bad with this curse, but we all suffer in varying degrees. My best wishes and thoughts to all.E-mail Paul:[email protected]",,email,gas,flux,secondary school,cauliflower,tea,coffee,cramp,people,place
417,"eval(ez_write_tag([[580,400],'ibstales_com-banner-1','ezslot_4']));I can't recall the first time I was affected by IBS. I recall the first time it affected my life though. I was around 14, at my friend's house, and 
my stomach was hurting quite badly and I had the feeling that I just needed to go to the toilet. I made my excuses and got back to my house as soon as I could. I know prior to that I'd had bad stomach aches and diarrhea for around two years on and off, nothing major or drastic, certainly didn't have a major influence on my life.Over the years though it all got worse and worse and started to affect my life. I think a lot of it is to do with the fact that as you get older your diet gets richer and more varied, whereas at 12 spaghetti hoops are quite exotic. As time goes on, foreign food and alcohol become staples.I live in fear of pizza, it's my really bad trigger. Oh don't get me wrong, if it was only pizza I would be a happy man and not have missed many concerts, events, social gatherings and days off work due to this. No, pizza is just the monster in the closet for me, but he has all his little deathly minions as well, and if I knew their names I could tick them off as I smite them. I don't though, and that's the problem.Let me tell you about a typical IBS incident for me. Let's say midday I have a Big Mac, and around 6pm I will eat again. Around 8pm I will get the slightest little feeling in the back of my abdomen, and slowly that will grow. It may take till around 10pm or it may take till 2am, but the only way I can get rid of this (believe me the pain will be bad, but a funny pain) is by going to the toilet, and it is always diarrhea, which will last 30 minutes or so.I know it's over as I will urinate, it's odd, that's like my all-clear sign, I urinate, only for about 10 seconds, but that's it, it's like an exorcism 
that has gone well and is now over.I think because I have had this for around 23 years, the feeling among my friends went from concern, to familiarity, to them ignoring it, to now when you have my family having no sympathy at all, friends fed-up because I call off things or leave early, and all of them suggesting things that will cure it or help things. My wife's favorite is to take a Nurofen as it will stop the pain, I love her as she does try to help, but it doesn't and won't help.I have tried every form of pain relief over the years and if I had found one that had worked I would have stuck with it, similarly the tummy tablets, things that did seem to work no longer work, maybe my body just got immune to them.At the moment I am the most down about it than I ever have been. I need to seriously address my diet and food consumption and see what I can do to at least bring it to a manageable state.",,pain,pizza,friend,stomach,home,diet,toilet,food consumption,Big Mac,immune
418,"Seems I've had this for a few years. I think irritable bowel syndrome, gluten intolerance, celiac disease etc are all related. About 26 months 
ago I got a stomach bug while working under my car when the dog kicked up a bit of dirt from around his hut and caught me on the lip. About 30 minutes later I was sick.A week later a small notice was in the paper about a sudden increase in food poisoning cases in our area and not to use public swimming pools etc... I'd pasted out on the toilet a few times, by two weeks later I felt OK.About 20 months ago I got another bout after eating at a BBQ at a friend's place. Somebody (and I know who it was, like it seems it was intended, I can remember it so clearly) hadn't washed their hands before handling the cooked meat. I wasn't the only one to be sick. I got over this like the last bout in about two weeks.But the bouts of constipation/diarrhea stayed. I thought that it was a bug in my stomach because after eating I would swell up and feel terrible. I was traveling by car to work (two days travel - one to three weeks work - two days travel), eating lots of McDonald's on the way.About this time I started to find there was a connection between food/stomach/sickness. Dad had been diagnosed with cancer six months before. I went to a doctor who took blood/feces tests, but when they came back negative they didn't bother to tell me. Did this about five times. Finally he said about IBS and how it can be induced with flour/gluten. So I tried a gluten-free diet.Gluten free was the way to go, my stomach stopped heaving all the time after about a week. After three days my indigestion disappeared. I'd been using Mylanta or Quickease everyday for about five years beforehand, haven't used it once since! So after about three weeks gluten free I was dismissed from work because of lack of work output and being sick all the time (fair enough). I still felt bad but I felt better than I felt before.Anyway this was about 12 months ago. The doctor did a IGa and IGg gluten test about six to seven weeks after I'd given up gluten, then upon my next visit proudly told me I was OK because the test came back negative. He never called up with this info and never told me you have to have a high-gluten diet for at least three months before taking the test for it to come back with a positive. Anyway I now know the gluten is the main problem.E-mail Martin:[email protected]",,stomach,exam,job,email,bug,bug,car,diet,doctor,doctor
419,"My Mom and I have had the damn thing ever since I can remember. Mine became especially worse when in 1999 a) I went back to college at age 35, b) I had a chronic sinus infection and was on antibiotics for four months, c) my wife and I hurdled toward bankruptcy and d) all this was done while driving a limo full time and eating fast food non-stop.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-3','ezslot_0']));It was terrible for a couple of years with diarrhea three-plus days per week, an accompanying hemorrhoid and raw rear end, indigestion and tongue problems (thrush and geographic tongue). My keys have been: a vitamin regimen, fiber supplement to give the stool bulk, acidophilus and an exercise routine in the morning when just about everybody gets their worst bouts.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-4','ezslot_3']));I am down to only periodic episodes which are highly manageable with one or two doses of Imodium. I also avoid onions and deep fried stuff especially Chinese food as this will put me down. Good luck to all.E-mail Bob:[email protected]",,email,tongue,fast food,geographic,food,Chinese,fried,onion,onion,exercise
420,"I am 28 years old now and never had any major health concerns until about a year ago. I'd wake up every morning and the first thing I'd do would be to sit on the toilet. I'd have classes at about 8am and I'd go three or four times before class and another two or three times during the morning (yes, I'd have to excuse myself during an hour class up to three times).I've had all the tests done and today the doctor said I have IBS. I haven't controlled it very well at all over the past year. I follow a strict diet, but I still suffer at least two or three times per week. Even if I don't get explosive liquid for a few days I will still feel uncomfortable with cramps and pain.eval(ez_write_tag([[580,400],'ibstales_com-box-4','ezslot_1']));At the moment I am in China. If you all think that Western doctors don't know much - just come here! Most doctors here say that IBS is a curable condition and it is just a stomach disorder that can be fixed with traditional Chinese medicine and some pills. Well, I've tried all of them. Some days I am afraid to leave the home because I am afraid of having a sudden attack.I hate eating in restaurants also because I always worry if the food is going to trigger explosive liquid. I know the book Eating For IBS has helped a bit, but no way enough. I just fear living with this the rest of my life. It has seriously strained my relationship with my girlfriend. I was athletic 12 months ago, now I am skinny.E-mail Philippe:[email protected]",,stratum,stratum,class,doctor,doctor,email,liquid,athletic,book,disorder
421,"I read these stories and it's like deja vu. I have had IBS for about 15 years. It started with minor cramping and going to the toilet three to five times a day. Then the explosive diarrhea events started. Mostly at night, or after a rich meal at a restaurant. Also on business trips. I got decent relief with Librax, but I had to take it 5-10 days to stop the event and it zoned me out bad. The cramps were so bad I yelled out in pain. The doctors, as many of you know, don't know squat.As of now, I am now in the 'constipation phase', however, I am controlling it nicely. I have some tips that may or may not help.Take two Citrucel tabs after every meal, and a glass of the powder form at night. Soluble fiber is the key. It relieves the constipation and eases the cramps when they come. Remember, it takes time for your colon to adjust and become regular again. It took me three weeks before I got consistent relief.Cut out all caffeine except for one to two drinks at your 'good time', the least likely time of an attack.Don't smoke!Stop drinking altogether, or only drink after a light, bland meal. Never ever after a heavy fat laden meal.Absolutely do not combine caffeine, dairy, or acid causing foods.Eat regularly during the day when you are active, and eat bland foods in small portions at night.Only eat fat-rich foods when you are active.Drink water all day long. Dehydration is a big trigger for me.Absolutely do not use chemical laxatives. Keep drinking the water and taking the soluble fiber and it will 'work itself out'.E-mail Steve:[email protected]",,meal,beverage,food,email,constipation,fat,cramp,event,dehydration,acid
422,"I grew up with stomach problems. My mom always told me I was 'born crapping'. I had projectile diarrhea as a baby and here I am 22 years later very ill.I've had stomach and intestinal problems all of my life. I've been through so many tests and all the doctors say is I have IBS and GERD (reflux). It sucks, it affects my life, my relationships, my friendships. I feel like I'm dying and have cancer or something. I seriously prepare to die sometimes because I feel like I'm being eaten out from the inside by an alien or something.My symptoms are getting worse as time goes on. My reflux disease goes hand in hand with the IBS. Whatever I don't regurgitate back up after eating, comes out in the form of severe discomfort. I manage to go to work, do what I can when I can. The key word is when. I just went through a month were I was totally fine, I was constipated a bit but really welcomed that more than the runs 24/7. But all of a sudden out of nowhere Thursday night I started feeling that familiar discomfort.My symptoms include: nausea, stomach pains and cramps, loose stools/diarrhea, dizziness, fatigue, burning sensation in the eyes (directly associated with the stomach cramps) and so many more. I've had people laugh at me about it. My girlfriend does not really understand, she is awesome though and tries and does what she can for me. Altogether it's lonely and uncomfortable.As we speak I just had a handful of crackers about an hour ago and right away my eyes started burning, and my bowels feel like there's a hamster running around in there looking for a way out. It's brutal. I really feel like I'm dying sometimes, I would never imagine a 'minor' disease to hurt so badly. I hope people without IBS read this and understand that it's much more serious and can even be debilitating.E-mail Jon:[email protected]",,stomach,email,flux,people,disease,nausea,minor,running,jogging,cracker
423,"I am now 33 and I can clearly remember my first 'attack' at the age of 11. My mum and dad were taking me to see some family friends in the Lake District, England. During the journey I suffered excruciating stomach pains and had to make several stops. Eventually I thought I would be OK until we reached our destination, but I was wrong and ended up making a mess in my clothes. We arrived at our friends with me crying my eyes out and my mum and dad having to explain what happened.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-3','ezslot_0']));Over the next few years I would go from spending days not going to the toilet followed by several hours sat in pain until everything had 'come out', usually during the night. After several visits to the doctors, who eventually referred me to a specialist, who then carried out all the tests (a barium enema at the age of 14 isn't nice) I was diagnosed as having a nervous bowel.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-4','ezslot_3']));For the next nearly 20 years I have suffered in pain and embarrassment, missed out on many of the enjoyable things I would have loved to have done (not being able to go on trips etc in case there is no toilet), and slowly got more and more depressed as the symptoms seem to get worse and more frequent. My symptoms seem to worsen if I know I'm going somewhere where there may be no toilet or if there is a long (more than half an hour, ha ha) journey involved, and in the mornings.I used to drive a van around England for my job as a crane engineer and would have to carry my emergency kit (change of pants, bin bags, baby wipes, toilet roll) in the back in case I got stuck in traffic - it was like my own porta-loo which would be heaven to some people. Certain foods do trigger my symptoms off and I find I drink far too much cola which may not be helping. The problem is I have never actually been diagnosed with having IBS and so haven't looked into the various possibilities of causes.eval(ez_write_tag([[580,400],'ibstales_com-box-4','ezslot_1']));Tomorrow I visit the doctor yet again, who bear in mind still hasn't diagnosed me with IBS, but has given me countless anti-spasmodic powders and anti-depressants. This time after reading all of the other stories on this site I will demand that he looks at the possibility that I have IBS; not that this will help as I have come to understand, but it will at least make me feel that for all these years it hasn't been a condition that is 'in my head' and that I may be able to do something to ease the pain, one of which is posting my thoughts on this site and seeing that there are many other people out there like me, thank God.E-mail Wayne:[email protected]",,pain,toilet,father,email,people,doctor,doctor,mother,friend,bag
424,"I've been suffering with IBS for nearly 10 years and it completely controls my life. I live in fear of it. It dominates me and consequently it dominates my family's life. I have the 'Toilet Police' version. I don't know whether the panic triggers an episode or the episode triggers the panic.I adopt the avoidance method - I always carry some tissues. I check every available traffic system to reduce the possibility of becoming stuck in traffic. I've had my car windows blacked out just in case. I've turned down employment because of possible traffic problems. I check every venue for the number of cubicles. I note every alley, bush, wall, store and bar.I refuse to take my wife to her favorite restaurant because it is a very busy place and only has one cubicle. I won't take my family anywhere where there's a chance of no toilet facilities close by and available. I find myself frustrated and becoming aggressively defensive of my decisions not to do things. I'm beginning to think that living within my own four walls is the 'perfect' existence and I have pondered the relief that The Big Sleep may bring. I think everyone at some point mutters the words 'I wish I was dead' but then the gloom lifts and we all carry on.For all my bravado I feel like I'm carrying a heavy burden of guilt. I've read some of the stories on this site and am humbled. I don't know how our partners can cope with our paranoia (particularly mine). I'm sure there are worse things in the world but I find my condition self-absorbing. I've tried the complementary medicine and have been on medication for years to assist my day to day life. I'm sure you've heard this type of tale a thousand times before but it's nice to just put it all down.E-mail Rick:[email protected]",,traffic,email,family,cabin,tale,black out,decision,place,existence,plug
425,"eval(ez_write_tag([[580,400],'ibstales_com-banner-1','ezslot_5']));About 10 years ago I noticed a change in my digestive process. I was 33 at the time and never in my life had any issue in this area if you know what I mean. I noticed that I would have to go to the bathroom shortly after eating, several times a week. This was especially fun when I was commuting from NJ to NY via the train and subway where bathrooms are either disgusting or non-existent.I also began losing some weight, which several of my fellow workers commented on or joked about (they called me bubble boy or bug boy and suggested that since I visited the restroom so much they would move my computer to the handicap stall for efficiency). After several months of this I saw my GP who did a stool test, checked for blood and said she could not find anything and that I should see a specialist.I then sought out a gastro guy who took a history, ran the same stool tests and said that he thought it was nerves but that to appease me, he 
would do a colonoscopy which turned out to be fine (ie: no problems detected). As my symptoms got worse and I lost more weight (25 pounds) I got desperate and sought the advice of the one doctor I would trust with my life, my wife's OBGYN. She sent me to a specialist in NY City who took a history and ran a bunch of blood tests. He discovered that I had giardia and put me on very heavy duty antibiotics. Further tests revealed that the giardia was eradicated but I still did not feel well.After several more months, more aggressive tests were taken. I had additional colonoscopies and endoscopies, CTs, and sonograms which revealed that I had H. pylori. This entailed more heavy duty antibiotics to eradicate the infection. While a follow-up endoscopy several months later revealed that the infection was cured, I still felt bad.That is when I was told that I may have IBS. After a year and a half of tests, drugs etc they tell me that I have this condition. The problems that this caused in my personal life (marriage) were substantial. I was not the best patient during this time and my wife got tired of listening to me complain. My doctor thought that my condition was causing me to be depressed (who wouldn't be after all this) and I agreed to speak with a therapist. This turned out to be a waste of time since I acknowledged that I was depressed but that I would get undepressed if I felt I was getting better, to which he did not have a response.It has now been approximately 10 years since the outset of my condition. And while I am better now than when the two conditions above were present, I still have many of the symptoms (diarrhea, bloating, etc). I have learned to just deal with the condition and not let it control my life. Luckily it is not as bad as some of the stories I have read and can be largely controlled with common sense.I normally get a little bit of a warning as to when it will flare-up and I ensure that a bathroom is near. I never discuss it with my wife because I know she does not want to hear it and there would not be much point to it (no sympathy there). Sometimes weeks go by and I feel great and almost forget that I have this issue. Then I eat a meal or for whatever reason it flares up and I spend some time in the bathroom.I just try and live my life and enjoy it as best I can. If I eat a nice meal and some wine and it results in a bathroom break so be it. I am not going to eat some benign diet my whole life. That is no way to live. I carry Imodium with me at all times and use it when I need for the symptoms to stop (not near a bathroom). Otherwise I let it rip so to speak.I am not sure this story will help anyone or not but here it is. If I had one message it would be to seek out as much medical diagnosis as you can stand or afford. You may find out you have something else and then can deal with that. Once you have done that you can try and learn to live with it as best as you can, enjoy the good times that life offers and manage the down times as best as possible.E-mail John:[email protected]",,toilet,exam,condition,husband,medical diagnosis,email,endoscopy,antibiotic,infection,doctor
426,"I am 28 years old. I have been suffering from what the doctors think is IBS, and after reading some of the stories here I believe they are right. It all started about four years ago...I would use the restroom every now and then and be in there for about 20 minutes, but I would feel fine after I was done. Slowly, day by day it became worse. I now wake up in the morning and I am in the restroom for at least an hour and a half. I have to go back no less than four times a day.I never have relief and I always look for a restroom whenever I go anywhere (which is hardly ever). I have horrible pains and I feel like I am going crazy after being on the toilet for so long. I am late to everything or don't even make it half the time and my wife (poor thing) has to call and 
cancel our plans. I feel so bad for my wife because this is all she knows of me. I can't plan anything special for her because I don't know if I'll be 
around to enjoy it.I am trapped on a toilet more than half of my day. When my wife says 'Go say hi to Daddy' my children know to go look in the restroom. I have tried almost everything and nothing works for me. I thank you for listening and want to let others know they are not alone. If anyone has any 
advice...please send it my way. Good luck to you all and God Bless!E-mail Ethan:[email protected]",,toilet,husband,email,doctor,doctor,tale,pain,plan,special,child
427,"Wow, I (Josh, 28) just stumbled on this page doing my typical searches for diarrhea. I saw Peter's story first, and as I read it, it sounded word for word what I have been going through. The whole not eating out, the timing of attacks after eating, etc. Everything is exactly the same so I won't bother repeating it. I am glad I found this page. It's hard to explain how comforting it is to read some of these stories and feel 'Wow, that's just like me'.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-3','ezslot_0']));Mine started in 2000. I do have one embarrassing story which I'll write on another day - it's funny now, but wasn't so funny then!. At any rate, I went through blood tests, stool tests, CT scans, biopsies, the barium thing, upper GI, lower GI, flexible sigmoidoscopy, colonoscopy, etc. I don't think there is anything I haven't done. I did gluten-free diets, lactose-free diets, and exclusion diets even to the point of crossing out ingredients with a sharpie and adding one at a time. I've tried anti-spasmodics, and that Digestive Advantage stuff. Basically I'm left with IBS as the only diagnosis.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-4','ezslot_3']));In 2004 my sister started taking Lexapro 10mg for some anxiety before she would start teaching again in the fall. I looked it up for her to read about it and found that some people with IBS were given serotonin reuptake inhibitors to help with IBS symptoms. So I asked my GI specialist what he thought. He said 'Well, Josh, you know, if it doesn't make you feel better, you'll be happier about being sick'.So I tried it. It did help tremendously when coupled with 2 to 4mg of loperamide every day. I've been able to eat out sometimes although I still get a little anxious. I teach as well and keep a bottle of loperamide in my closet. I was able to travel back to France for the first time last summer since all this started.Occasionally I still have attacks, but the combination of the two keep them farther between. The awareness I feel of my mid-section has diminished; however, I'm still on the hunt to find that special something that can ensure that I won't have to rush home after eating.I've decided to try and go to medical school in 2008 to be a gastroenterologist. I figure, I've read so much about it and everything else having to do with GI - I should put it to some good use. I sure as hell know I will be able to sympathize. Thank you Sophie for this site and to everyone else who has shared their stories!E-mail Josh:[email protected]",,tale,email,page,attack,attack,attack,attack,anxiety,gastroenterologist,school
428,"eval(ez_write_tag([[580,400],'ibstales_com-box-4','ezslot_1']));For anyone who is interested I thought I would share my story with you. I wanted to share it with people who are aware of IBS and get this off my chest and out into the open with people who may understand, and have any kind of tips/advice.I am a 23 year-old male and I have had severe IBS and stomach spasms over the last two years. I have always been fit and healthy. I am about five foot seven and I weigh about 10 and half stone.One thing I read a lot with IBS sufferers is the fact that not many know what set their IBS off in the first place. I can imagine for a lot of people this brings added stress, as I'd imagine many people would like to know. In my case I know what set it off - I contracted a bug which was in the water supply (cryptosporidium) which gave me many food poisoning-like symptoms. As a result I have been left suffering with severe IBS.The depressing thing is as a result of me not being able to control it I lost my very good job, my girlfriend and the last year of my life, as of most of the last year it had made me housebound. I have a great GP and I have also been under the care of a few gastro specialists. I have had all the tests to rule out anything else.Even now, two years after I was ill, the effects on my body are devastating, and it's got so bad that my body always feels like I need to go to the loo even when I don't need to, and even when I do it's of a loose nature. I have been seeing a dietician and a physio, and although this has helped, things just have not significantly improved. I of course avoid all things that worsen my IBS - certain foods, etc.I can have my very good days when I take my medication. On my good days I get about three to six bowel movements, and then there are my bad days where it has honestly been as high as 15-plus or I am just stuck on the loo for hours. At one point I was even sleeping in the bathroom because of the worry of soiling myself by not getting there in time! A colonoscopy revealed that my bowels were very sore, and this is due to the frequency of bowel movements.My movements definitely do increase if I get stressed, but it's hard not to become stressed when this is so much of a burden on my life. It's not just the severe diarrhea; on some occasions I have been hit with chronic constipation (fecal impaction is a term they also used). I have spent over a month in hospital this year alone due to this problem. The worst time was when I was unable to have a bowel movement for over three weeks!Medication I have taken, or am currently taking, include: loperamide, mebeverine, amitriptyline, colifoam, tramadol, citalopram, zopiclone, canesten, paracetamol, Buscopan, ompeprazole, diclofenac, Movicol, Senokot, Fybogel, Cirtafleet (if severely constipated), and Forti-sip food replacement drinks. Then there are also the fluid replacement sachets I take to try and prevent dehydration.As you can see quite a list, and all of this has been prescribed by either my GP, specialist, or hospital management pain team. My days just seem to be filled with taking medication, but if I don't then things get all the worse.I try to take a positive outlook and hope that things will eventually improve. If there was any kind of surgery on offer I certainly would have it 
done. I have to manage my IBS on a daily basis, and mix the medication to match how I am feeling that day (of course staying within the daily dosages). I see my GP regularly to assess everything.If you have any questions just ask, or if you wish to share your stories with me then please do.E-mail Daniel:[email protected]",,medication,people,email,tale,food,body,expert,Hospital Management,water supply,food poisoning
429,"I almost had a panic attack two weeks ago. I went to eat Chinese food in Chicago with my friends. I promised myself that I would never leave any kind of food just because of this damn sickness. So after we ate we went to the park to see a Chinese festival.All of a sudden, I felt something and I thought it was gas. I was wrong, and I almost had an 'accident'. Because I didn't have a bathroom nearby I started to feel very anxious and desperate. I was trying not to think about it by counting candies or cars or saying 'This is my body, I know that's nothing' but it did not work. I was about to start running but all of a sudden my cramps left, but I still felt nauseous and had a lot of adrenaline.Coming back from Chinatown the traffic was very intense and I felt trapped. I started to breathe heavily, feeling desperate and getting crazy with the noises in my stomach and the cramps. I was thinking 'Get out of the car and run'. After counting to 1000 everything vanished and the traffic started to move.I never had that symptom before, and it was maybe the worst thing that has happened with this damn sickness. But also I realized that with a lot of concentration the sickness can be fought. Since then, every day I say to myself 'I'm stronger that this sickness, I will do my errands even if I have an accident!'My symptoms are the same, but now I can make myself think about something else, or at least make my body wait to find a bathroom, telling myself that there is nothing I can do but wait. I also say this to myself: 'What will happen if I have an accident, people are not going to see me again' or 'What's the worst that can happen if I'm late, if I lose my job, I can get another one, or if I miss a class, I can explain to my teacher what happened'.Making things look simple is working for me. It is hard but I'm seeing improvements, little by little. Let me know about you. This is my cross...and I want to end it by my own means.E-mail Juan:[email protected]",,nausea,accident,body,email,traffic,cramp,car,toilet,food,attack
430,"I am 21 years old and I have had IBS since I was nine or 10. I thought for many years that I simply had a weak stomach that could not handle certain foods. All through middle school and high school I fought with this silent syndrome with no help from my parents or the medical community. I was trapped! My parents would joke that every time I came into the house they knew where I was going...(everyone who has IBS knows where this is going)...right to the bathroom!I'd have the worst cramps followed by diarrhea and a pain that I can only describe as blinding. I am not kidding when I say I was in so much pain I wouldn't be able to see. Everything was foggy.Finally when I went to college my symptoms culminated. I go to a nursing school so one day I finally went to the hospital where they ran tests and found no 'problems'. I knew I had to take things into my own hands! I found a GI on my own and was finally diagnosed with IBS. I wish this was the end and I lived happily ever after...negative! I am still suffering every day!I've gone through two GIs, as let's just say we did not get along! I wanted to be proactive instead of reactive. Meaning I'd like to be able to take medicine instead of having to go to the ER to get relief. I go to the hospital about once a month or every other month for IV's because I get so dehydrated from diarrhea. I am currently on Zofran for nausea, Levsin for cramps and an antacid for gastritis which I've recently been diagnosed with! IBS and gastritis! I know I don't have Crohn's but damn my symptoms have a scary resemblance to it.I am captain of my college baseball team and I have been wrestling with the issue of having to quit because of losing 20 pounds in three months and no end in sight. I just want to be normal, just like everyone else here! I'd love to travel to all the continents in the world, but frankly I'm scared of going to a third world hospital for an IBS attack! Thanks for letting me vent...E-mail Garrett:[email protected]",,email,gastritis,pain,cramp,world,parent,school,attack,attack,attack
